iter	Passed	Remaining
0	5	2969
1	11	2955
2	17	2920
3	22	2850
4	28	2821
5	34	2838
6	39	2804
7	45	2826
8	51	2812
9	56	2791
10	62	2782
11	68	2794
12	74	2777
13	79	2769
14	86	2787
15	91	2779
16	97	2776
17	103	2775
18	109	2780
19	117	2816
20	123	2815
21	129	2813
22	135	2801
23	141	2804
24	148	2819
25	153	2806
26	159	2799
27	166	2801
28	172	2804
29	178	2800
30	185	2804
31	190	2790
32	196	2777
33	201	2766
34	208	2763
35	213	2754
36	219	2745
37	224	2732
38	230	2727
39	237	2725
40	242	2716
41	249	2718
42	255	2718
43	262	2716
44	267	2708
45	274	2705
46	280	2700
47	286	2695
48	292	2689
49	298	2683
50	304	2683
51	310	2675
52	317	2673
53	323	2669
54	330	2672
55	336	2670
56	342	2665
57	348	2654
58	355	2654
59	362	2655
60	367	2648
61	373	2640
62	379	2632
63	385	2629
64	391	2619
65	397	2610
66	402	2601
67	408	2596
68	415	2592
69	420	2583
70	427	2580
71	433	2574
72	438	2566
73	444	2561
74	450	2552
75	457	2550
76	462	2541
77	468	2537
78	474	2528
79	479	2519
80	485	2511
81	490	2502
82	496	2496
83	502	2488
84	508	2483
85	514	2478
86	520	2468
87	525	2460
88	531	2453
89	536	2444
90	542	2437
91	548	2430
92	554	2427
93	561	2423
94	566	2416
95	572	2410
96	578	2404
97	584	2395
98	590	2392
99	596	2387
100	602	2381
101	609	2377
102	615	2373
103	621	2366
104	626	2357
105	633	2352
106	640	2350
107	646	2347
108	653	2344
109	660	2340
110	666	2336
111	671	2327
112	678	2323
113	684	2316
114	690	2310
115	695	2303
116	702	2298
117	708	2294
118	713	2285
119	719	2278
120	726	2274
121	731	2267
122	738	2262
123	743	2254
124	749	2249
125	755	2241
126	760	2234
127	766	2227
128	771	2219
129	778	2215
130	784	2209
131	790	2202
132	795	2195
133	800	2187
134	806	2181
135	812	2174
136	818	2167
137	825	2164
138	831	2158
139	837	2153
140	845	2151
141	852	2149
142	858	2143
143	865	2140
144	871	2134
145	878	2131
146	885	2127
147	893	2124
148	900	2121
149	907	2117
150	914	2113
151	921	2109
152	929	2107
153	937	2105
154	944	2101
155	951	2097
156	958	2094
157	965	2090
158	972	2086
159	978	2079
160	983	2071
161	990	2065
162	995	2059
163	1001	2051
164	1007	2045
165	1012	2038
166	1018	2031
167	1024	2023
168	1030	2017
169	1035	2010
170	1041	2003
171	1047	1997
172	1052	1990
173	1059	1984
174	1064	1977
175	1070	1969
176	1075	1962
177	1081	1956
178	1087	1949
179	1093	1943
180	1100	1939
181	1107	1934
182	1113	1928
183	1118	1921
184	1123	1913
185	1130	1908
186	1136	1901
187	1141	1894
188	1147	1888
189	1153	1882
190	1158	1874
191	1165	1868
192	1170	1861
193	1175	1854
194	1181	1847
195	1187	1842
196	1193	1835
197	1198	1828
198	1204	1821
199	1210	1815
200	1215	1808
201	1221	1801
202	1227	1796
203	1232	1789
204	1238	1781
205	1244	1776
206	1249	1769
207	1255	1762
208	1260	1755
209	1266	1748
210	1272	1743
211	1278	1736
212	1284	1730
213	1290	1724
214	1295	1717
215	1300	1710
216	1306	1704
217	1312	1697
218	1317	1691
219	1324	1685
220	1331	1680
221	1338	1676
222	1345	1671
223	1350	1664
224	1356	1657
225	1362	1652
226	1368	1645
227	1373	1638
228	1380	1634
229	1387	1628
230	1393	1622
231	1398	1615
232	1404	1608
233	1409	1602
234	1415	1596
235	1421	1589
236	1426	1583
237	1432	1576
238	1437	1570
239	1444	1564
240	1450	1558
241	1456	1552
242	1461	1546
243	1467	1540
244	1473	1533
245	1479	1527
246	1484	1520
247	1490	1514
248	1497	1509
249	1502	1502
250	1508	1496
251	1513	1489
252	1519	1483
253	1525	1477
254	1530	1470
255	1535	1463
256	1541	1457
257	1547	1451
258	1553	1445
259	1560	1440
260	1565	1433
261	1571	1427
262	1576	1420
263	1582	1414
264	1588	1408
265	1593	1402
266	1600	1396
267	1606	1390
268	1611	1383
269	1617	1377
270	1623	1371
271	1632	1368
272	1639	1362
273	1645	1357
274	1651	1351
275	1658	1346
276	1664	1339
277	1669	1333
278	1674	1326
279	1680	1320
280	1685	1313
281	1691	1307
282	1696	1301
283	1702	1295
284	1709	1289
285	1715	1283
286	1721	1277
287	1726	1271
288	1733	1265
289	1739	1259
290	1744	1252
291	1750	1246
292	1755	1240
293	1762	1234
294	1769	1229
295	1776	1224
296	1781	1217
297	1787	1211
298	1793	1205
299	1798	1198
300	1804	1193
301	1811	1187
302	1817	1181
303	1822	1175
304	1829	1169
305	1836	1164
306	1842	1158
307	1848	1152
308	1854	1146
309	1860	1140
310	1866	1134
311	1872	1128
312	1878	1122
313	1883	1115
314	1890	1110
315	1895	1103
316	1900	1097
317	1906	1091
318	1912	1085
319	1919	1079
320	1926	1074
321	1933	1068
322	1938	1062
323	1944	1056
324	1950	1050
325	1956	1044
326	1962	1038
327	1967	1031
328	1973	1025
329	1979	1019
330	1985	1013
331	1990	1007
332	1997	1001
333	2003	995
334	2009	989
335	2014	983
336	2020	977
337	2025	970
338	2031	964
339	2037	958
340	2043	952
341	2048	946
342	2054	940
343	2059	934
344	2065	927
345	2070	921
346	2076	915
347	2082	909
348	2088	903
349	2094	897
350	2100	891
351	2107	885
352	2113	880
353	2119	874
354	2125	868
355	2130	861
356	2136	855
357	2141	849
358	2147	843
359	2153	837
360	2158	831
361	2164	825
362	2170	819
363	2176	813
364	2181	806
365	2188	801
366	2193	794
367	2199	789
368	2205	783
369	2212	777
370	2218	771
371	2224	765
372	2229	759
373	2235	753
374	2241	747
375	2246	740
376	2252	734
377	2257	728
378	2262	722
379	2269	716
380	2274	710
381	2280	704
382	2286	698
383	2292	692
384	2299	686
385	2304	680
386	2309	674
387	2316	668
388	2323	663
389	2329	657
390	2336	651
391	2342	645
392	2349	639
393	2354	633
394	2361	627
395	2367	621
396	2373	615
397	2379	609
398	2384	603
399	2390	597
400	2396	591
401	2402	585
402	2408	579
403	2414	573
404	2419	567
405	2424	561
406	2431	555
407	2438	549
408	2445	544
409	2453	538
410	2460	532
411	2466	526
412	2473	521
413	2478	514
414	2485	509
415	2491	503
416	2497	497
417	2502	490
418	2508	484
419	2514	478
420	2519	472
421	2525	466
422	2530	460
423	2536	454
424	2543	448
425	2548	442
426	2553	436
427	2559	430
428	2565	424
429	2570	418
430	2576	412
431	2582	406
432	2587	400
433	2593	394
434	2598	388
435	2604	382
436	2610	376
437	2619	370
438	2626	364
439	2633	359
440	2639	353
441	2646	347
442	2652	341
443	2658	335
444	2664	329
445	2670	323
446	2676	317
447	2681	311
448	2687	305
449	2694	299
450	2699	293
451	2706	287
452	2712	281
453	2717	275
454	2723	269
455	2729	263
456	2735	257
457	2741	251
458	2747	245
459	2753	239
460	2759	233
461	2765	227
462	2770	221
463	2776	215
464	2782	209
465	2788	203
466	2793	197
467	2799	191
468	2805	185
469	2810	179
470	2816	173
471	2821	167
472	2827	161
473	2835	155
474	2842	149
475	2847	143
476	2853	137
477	2858	131
478	2864	125
479	2869	119
480	2875	113
481	2880	107
482	2886	101
483	2892	95
484	2898	89
485	2904	83
486	2910	77
487	2916	71
488	2922	65
489	2928	59
490	2933	53
491	2939	47
492	2945	41
493	2951	35
494	2957	29
495	2962	23
496	2968	17
497	2974	11
498	2980	5
499	2985	0
